game_id,year,season,player,commentary
1,1901,spring,Turkey,"In this turn, Turkey's strategy involved expansion. The nation expanded into neutral territories, claiming Arm, Bul."
1,1901,spring,Italy,"In this turn, Italy's strategy involved expansion, consolidation. The nation expanded into neutral territories, claiming ION, Apu."
1,1901,spring,France,"In this turn, France's strategy involved expansion. The nation expanded into neutral territories, claiming Pic, Bur, MAO."
1,1901,spring,Austria,"In this turn, Austria's strategy involved expansion. The nation expanded into neutral territories, claiming Alb, Ser."
1,1901,spring,Germany,"In this turn, Germany's strategy involved expansion, consolidation. The nation expanded into neutral territories, claiming Hol."
1,1901,spring,England,"In this turn, England's strategy involved expansion. The nation expanded into neutral territories, claiming NWG, NTH."
1,1901,spring,Russia,"In this turn, Russia's strategy involved expansion. The nation expanded into neutral territories, claiming Ukr, BOT."
1,1901,fall,Turkey,"In this turn, Turkey's strategy involved aggression, consolidation. It launched successful assaults, capturing Sev (from Russia)."
1,1901,fall,Italy,"In this turn, Italy's strategy involved aggression, expansion. However, its attempted attacks on Tri (from Austria) were repelled. The nation expanded into neutral territories, claiming Tun. Logistically, it executed important convoys, including moving an army from Apu to Tun."
1,1901,fall,France,"In this turn, France's strategy involved expansion, consolidation. The nation expanded into neutral territories, claiming Bel, Por."
1,1901,fall,Austria,"In this turn, Austria's strategy involved expansion, consolidation. The nation expanded into neutral territories, claiming Gre."
1,1901,fall,Germany,"In this turn, Germany's strategy involved expansion, consolidation. The nation expanded into neutral territories, claiming Bur, Den."
1,1901,fall,England,"In this turn, England's strategy involved expansion, consolidation. The nation expanded into neutral territories, claiming Nwy. Logistically, it executed important convoys, including moving an army from Edi to Nwy."
1,1901,fall,Russia,"In this turn, Russia's strategy involved expansion. The nation expanded into neutral territories, claiming BLA, Swe, Rum."
1,1901,winter,Turkey,"In this turn, Turkey's strategy involved reinforcement. During the build phase, it strengthened its military by creating an Army in Smy, a Fleet in Con."
1,1901,winter,Italy,"In this turn, Italy's strategy involved reinforcement. During the build phase, it strengthened its military by creating a Fleet in Nap."
